table,domain,rls_enabled,policy,cmd,roles,permissive,using_expr,with_check_expr,flags,notes,severity
abdm_audit_log,ABDM,YES,audit_log_select_admin,SELECT,{authenticated},PERMISSIVE,"((hospital_id = get_user_hospital_id()) AND (( SELECT users.role FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1) = ANY (ARRAY['super_admin'::text, 'hospital_admin'::text])))",,INITPLAN auth.*() per-row,,LOW
abdm_care_contexts,ABDM,YES,care_contexts_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
abdm_care_contexts,ABDM,YES,care_contexts_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
abdm_consent_logs,ABDM,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
abdm_consents,ABDM,YES,abdm_consents_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
abdm_consents,ABDM,YES,abdm_consents_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
abdm_gateway_logs,ABDM,YES,gateway_logs_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
abdm_gateway_logs,ABDM,YES,gateway_logs_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
abdm_rate_limits,ABDM,YES,(none),,,,,,"RLS enabled, ZERO policies",service_role/postgres only (both BYPASSRLS),INFO
accounting_posting_failures,Other,YES,hospital staff insert own posting failures,INSERT,{public},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
accounting_posting_failures,Other,YES,hospital staff read own posting failures,SELECT,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
accounting_posting_failures,Other,YES,hospital staff update own posting failures,UPDATE,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
addon_skus,Platform,YES,addon_skus_admin_write,ALL,{authenticated},PERMISSIVE,is_aumrti_admin(),is_aumrti_admin(),none,,OK
addon_skus,Platform,YES,addon_skus_anon_read,SELECT,{anon},PERMISSIVE,(is_active = true),,ANON-REACHABLE,,HIGH
addon_skus,Platform,YES,addon_skus_read_all,SELECT,{authenticated},PERMISSIVE,true,,OPEN-READ USING(true),,CRITICAL
admin_audit_log,Other,YES,admin_audit_log_admin_insert,INSERT,{authenticated},PERMISSIVE,,is_aumrti_admin(),none,,OK
admin_audit_log,Other,YES,admin_audit_log_admin_read,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,none,,OK
admission_day_care_procedures,IPD,YES,admission_day_care_procedures_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
admission_day_care_procedures,IPD,YES,admission_day_care_procedures_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
admission_estimates,IPD,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
admission_sequences,IPD,YES,admission_sequences_select,SELECT,{authenticated},PERMISSIVE,true,,OPEN-READ USING(true),,CRITICAL
admissions,IPD,YES,Users can manage own hospital admissions,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
admissions,IPD,YES,Users can view own hospital admissions,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
admissions,IPD,YES,aumrti_admin_read_all_admissions,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,MULTIPLE PERMISSIVE (2),,MEDIUM
adult_immunization_schedule,Other,YES,adult_immunization_schedule_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
advance_receipts,Other,YES,Users can manage own hospital advance_receipts,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
advance_receipts,Other,YES,Users can view own hospital advance_receipts,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ai_attestations,AI,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ai_cost_daily,AI,YES,ai_cost_daily_select_own,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ai_cost_daily,AI,YES,ai_cost_daily_upsert_service,ALL,{service_role},PERMISSIVE,true,true,none,,OK
ai_digests,AI,YES,Users can manage own hospital digests,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ai_digests,AI,YES,Users can view own hospital digests,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ai_feature_classes,AI,YES,ai_feature_classes_admin_write,ALL,{authenticated},PERMISSIVE,is_aumrti_admin(),is_aumrti_admin(),none,,OK
ai_feature_classes,AI,YES,ai_feature_classes_read,SELECT,{authenticated},PERMISSIVE,true,,OPEN-READ USING(true),,CRITICAL
ai_feature_logs,AI,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ai_language_settings,AI,YES,Anyone can read ai_language_settings,SELECT,{public},PERMISSIVE,true,,OPEN-READ USING(true),,CRITICAL
ai_language_settings,AI,YES,Hospital staff manage ai_language_settings,ALL,{authenticated},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
ai_provider_config,AI,YES,ai_provider_config_delete,DELETE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ai_provider_config,AI,YES,ai_provider_config_insert,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
ai_provider_config,AI,YES,ai_provider_config_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ai_provider_config,AI,YES,ai_provider_config_update,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ai_safety_flags,AI,YES,ai_safety_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
ai_safety_flags,AI,YES,ai_safety_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
ai_suggestions_audit,AI,YES,ai_audit_hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
ai_suggestions_audit,AI,YES,ai_audit_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
ai_usage_logs,AI,YES,ai_usage_logs_insert_service,INSERT,{service_role},PERMISSIVE,,true,none,,OK
ai_usage_logs,AI,YES,ai_usage_logs_select_own,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ai_wallet_transactions,AI,YES,ai_wallet_txn_select,SELECT,{authenticated},PERMISSIVE,((hospital_id = get_user_hospital_id()) OR is_aumrti_admin()),,none,,OK
ai_wallet_transactions,AI,YES,ai_wallet_txn_service,ALL,{service_role},PERMISSIVE,true,true,none,,OK
alert_escalation_log,Other,YES,alert_escalation_log_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
alert_escalation_rules,Other,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
alert_escalation_rules,Other,YES,alert_escalation_rules_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ambulance_dispatches,Emergency,YES,ambulance_dispatches_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ambulance_equipment_checks,Emergency,YES,ambulance_equipment_checks_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
